starttime	seconds	ctime	dtime	ttime	wait
Sat Feb 03 23:26:53 2024	1706982113	0	38	38	37
Sat Feb 03 23:26:52 2024	1706982112	0	38	38	38
Sat Feb 03 23:26:55 2024	1706982115	0	39	39	38
Sat Feb 03 23:26:53 2024	1706982113	0	39	39	36
Sat Feb 03 23:26:52 2024	1706982112	0	39	39	38
Sat Feb 03 23:26:52 2024	1706982112	0	39	39	38
Sat Feb 03 23:26:50 2024	1706982110	0	39	39	38
Sat Feb 03 23:26:53 2024	1706982113	0	39	39	37
Sat Feb 03 23:26:54 2024	1706982114	0	39	39	38
Sat Feb 03 23:26:52 2024	1706982112	0	39	39	27
Sat Feb 03 23:26:54 2024	1706982114	0	39	40	38
Sat Feb 03 23:26:53 2024	1706982113	0	39	40	38
Sat Feb 03 23:26:53 2024	1706982113	0	40	40	36
Sat Feb 03 23:26:53 2024	1706982113	0	39	40	36
Sat Feb 03 23:26:53 2024	1706982113	0	39	40	38
Sat Feb 03 23:26:52 2024	1706982112	0	40	40	39
Sat Feb 03 23:26:54 2024	1706982114	0	40	40	39
Sat Feb 03 23:26:52 2024	1706982112	0	40	40	36
Sat Feb 03 23:26:53 2024	1706982113	0	40	40	40
Sat Feb 03 23:26:51 2024	1706982111	0	40	40	39
Sat Feb 03 23:26:52 2024	1706982112	0	40	40	40
Sat Feb 03 23:26:55 2024	1706982115	0	40	40	39
Sat Feb 03 23:26:53 2024	1706982113	0	40	40	39
Sat Feb 03 23:26:55 2024	1706982115	0	40	40	37
Sat Feb 03 23:26:52 2024	1706982112	0	40	40	40
Sat Feb 03 23:26:54 2024	1706982114	0	40	41	39
Sat Feb 03 23:26:50 2024	1706982110	0	40	41	39
Sat Feb 03 23:26:50 2024	1706982110	0	41	41	39
Sat Feb 03 23:26:52 2024	1706982112	0	41	41	39
Sat Feb 03 23:26:52 2024	1706982112	0	41	41	39
Sat Feb 03 23:26:52 2024	1706982112	0	41	41	39
Sat Feb 03 23:26:53 2024	1706982113	0	41	41	38
Sat Feb 03 23:26:51 2024	1706982111	0	41	41	39
Sat Feb 03 23:26:52 2024	1706982112	0	41	41	39
Sat Feb 03 23:26:52 2024	1706982112	0	41	41	39
Sat Feb 03 23:26:54 2024	1706982114	0	41	41	39
Sat Feb 03 23:26:54 2024	1706982114	0	41	41	39
Sat Feb 03 23:26:52 2024	1706982112	0	41	41	39
Sat Feb 03 23:26:52 2024	1706982112	0	41	41	38
Sat Feb 03 23:26:53 2024	1706982113	0	41	41	39
Sat Feb 03 23:26:52 2024	1706982112	0	41	41	38
Sat Feb 03 23:26:55 2024	1706982115	0	41	41	40
Sat Feb 03 23:26:52 2024	1706982112	0	41	41	40
Sat Feb 03 23:26:53 2024	1706982113	0	41	41	39
Sat Feb 03 23:26:52 2024	1706982112	0	41	41	37
Sat Feb 03 23:26:53 2024	1706982113	0	41	41	36
Sat Feb 03 23:26:52 2024	1706982112	0	41	41	40
Sat Feb 03 23:26:52 2024	1706982112	0	41	41	41
Sat Feb 03 23:26:53 2024	1706982113	0	42	42	41
Sat Feb 03 23:26:53 2024	1706982113	0	42	42	41
Sat Feb 03 23:26:52 2024	1706982112	0	42	42	39
Sat Feb 03 23:26:52 2024	1706982112	0	42	42	40
Sat Feb 03 23:26:52 2024	1706982112	0	42	42	40
Sat Feb 03 23:26:53 2024	1706982113	0	42	42	40
Sat Feb 03 23:26:52 2024	1706982112	0	42	42	40
Sat Feb 03 23:26:52 2024	1706982112	0	42	42	41
Sat Feb 03 23:26:54 2024	1706982114	0	42	42	41
Sat Feb 03 23:26:54 2024	1706982114	0	42	42	41
Sat Feb 03 23:26:52 2024	1706982112	0	42	42	40
Sat Feb 03 23:26:52 2024	1706982112	0	42	42	42
Sat Feb 03 23:26:52 2024	1706982112	0	42	42	42
Sat Feb 03 23:26:51 2024	1706982111	0	42	43	42
Sat Feb 03 23:26:52 2024	1706982112	0	43	43	42
Sat Feb 03 23:26:53 2024	1706982113	0	42	43	42
Sat Feb 03 23:26:52 2024	1706982112	0	43	43	42
Sat Feb 03 23:26:52 2024	1706982112	0	43	43	42
Sat Feb 03 23:26:52 2024	1706982112	0	43	43	42
Sat Feb 03 23:26:54 2024	1706982114	0	43	43	40
Sat Feb 03 23:26:52 2024	1706982112	0	43	43	42
Sat Feb 03 23:26:52 2024	1706982112	0	43	43	42
Sat Feb 03 23:26:50 2024	1706982110	0	43	43	42
Sat Feb 03 23:26:52 2024	1706982112	0	43	43	43
Sat Feb 03 23:26:53 2024	1706982113	0	43	44	41
Sat Feb 03 23:26:52 2024	1706982112	0	44	44	43
Sat Feb 03 23:26:53 2024	1706982113	0	44	44	41
Sat Feb 03 23:26:52 2024	1706982112	0	44	44	43
Sat Feb 03 23:26:54 2024	1706982114	0	44	44	43
Sat Feb 03 23:26:52 2024	1706982112	0	44	44	43
Sat Feb 03 23:26:52 2024	1706982112	0	44	44	43
Sat Feb 03 23:26:51 2024	1706982111	0	44	44	43
Sat Feb 03 23:26:54 2024	1706982114	0	44	44	42
Sat Feb 03 23:26:51 2024	1706982111	0	44	44	42
Sat Feb 03 23:26:53 2024	1706982113	0	44	44	43
Sat Feb 03 23:26:52 2024	1706982112	0	44	44	43
Sat Feb 03 23:26:51 2024	1706982111	0	44	44	41
Sat Feb 03 23:26:52 2024	1706982112	0	44	44	43
Sat Feb 03 23:26:54 2024	1706982114	0	44	44	43
Sat Feb 03 23:26:52 2024	1706982112	0	44	44	43
Sat Feb 03 23:26:54 2024	1706982114	0	44	44	40
Sat Feb 03 23:26:54 2024	1706982114	0	44	44	40
Sat Feb 03 23:26:53 2024	1706982113	0	44	44	43
Sat Feb 03 23:26:52 2024	1706982112	0	44	44	43
Sat Feb 03 23:26:52 2024	1706982112	0	45	45	43
Sat Feb 03 23:26:54 2024	1706982114	0	44	45	40
Sat Feb 03 23:26:51 2024	1706982111	0	45	45	44
